template,years,country,technologydata
conventional_nuclear_baseload_PGP,2019,US,ConventionalNuclearEIA_PGP_IRENA-RES_IEA-H2
conventional_nuclear_baseload_PGP,2019,CN,ConventionalNuclearEIA_PGP_IRENA-RES_IEA-H2
conventional_nuclear_baseload_PGP,2019,DE,ConventionalNuclearEIA_PGP_IRENA-RES_IEA-H2
conventional_nuclear_baseload_PGP,2019,ZA,ConventionalNuclearEIA_PGP_IRENA-RES_IEA-H2
conventional_nuclear_baseload_PGP,2019,AU,ConventionalNuclearEIA_PGP_IRENA-RES_IEA-H2
conventional_nuclear_baseload_PGP,2019,BR,ConventionalNuclearEIA_PGP_IRENA-RES_IEA-H2
conventional_nuclear_PGP,2019,US,ConventionalNuclearEIA_PGP
conventional_nuclear_PGP,2019,CN,ConventionalNuclearEIA_PGP
conventional_nuclear_PGP,2019,DE,ConventionalNuclearEIA_PGP
conventional_nuclear_PGP,2019,ZA,ConventionalNuclearEIA_PGP
conventional_nuclear_PGP,2019,AU,ConventionalNuclearEIA_PGP
conventional_nuclear_PGP,2019,BR,ConventionalNuclearEIA_PGP
conventional_nuclear_PGP,2019,US,ConventionalNuclearEIA_PGP_IRENA-RES
conventional_nuclear_PGP,2019,CN,ConventionalNuclearEIA_PGP_IRENA-RES
conventional_nuclear_PGP,2019,DE,ConventionalNuclearEIA_PGP_IRENA-RES
conventional_nuclear_PGP,2019,ZA,ConventionalNuclearEIA_PGP_IRENA-RES
conventional_nuclear_PGP,2019,AU,ConventionalNuclearEIA_PGP_IRENA-RES
conventional_nuclear_PGP,2019,BR,ConventionalNuclearEIA_PGP_IRENA-RES
conventional_nuclear_PGP,2019,US,ConventionalNuclearEIA_PGP_IEA-H2
conventional_nuclear_PGP,2019,CN,ConventionalNuclearEIA_PGP_IEA-H2
conventional_nuclear_PGP,2019,DE,ConventionalNuclearEIA_PGP_IEA-H2
conventional_nuclear_PGP,2019,ZA,ConventionalNuclearEIA_PGP_IEA-H2
conventional_nuclear_PGP,2019,AU,ConventionalNuclearEIA_PGP_IEA-H2
conventional_nuclear_PGP,2019,BR,ConventionalNuclearEIA_PGP_IEA-H2
conventional_nuclear_PGP,2019,US,ConventionalNuclearEIA_PGP_IRENA-RES_IEA-H2
conventional_nuclear_PGP,2019,CN,ConventionalNuclearEIA_PGP_IRENA-RES_IEA-H2
conventional_nuclear_PGP,2019,DE,ConventionalNuclearEIA_PGP_IRENA-RES_IEA-H2
conventional_nuclear_PGP,2019,ZA,ConventionalNuclearEIA_PGP_IRENA-RES_IEA-H2
conventional_nuclear_PGP,2019,AU,ConventionalNuclearEIA_PGP_IRENA-RES_IEA-H2
conventional_nuclear_PGP,2019,BR,ConventionalNuclearEIA_PGP_IRENA-RES_IEA-H2
advanced_nuclear_baseload_PGP,2019,US,ATB2020
advanced_nuclear_baseload_PGP,2019,CN,ATB2020
advanced_nuclear_baseload_PGP,2019,DE,ATB2020
advanced_nuclear_baseload_PGP,2019,ZA,ATB2020
advanced_nuclear_baseload_PGP,2019,AU,ATB2020
advanced_nuclear_baseload_PGP,2019,BR,ATB2020
advanced_nuclear_baseload_PGP,2019,US,ATB2050
advanced_nuclear_baseload_PGP,2019,CN,ATB2050
advanced_nuclear_baseload_PGP,2019,DE,ATB2050
advanced_nuclear_baseload_PGP,2019,ZA,ATB2050
advanced_nuclear_baseload_PGP,2019,AU,ATB2050
advanced_nuclear_baseload_PGP,2019,BR,ATB2050
